SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,542 27th Ave,SAN FRANCISCO,CA,94121,2995000,3,4.0,SAN FRANCISCO,3810,2400,1999,1,786,,Active,September-11-2021 01:00 PM,September-11-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/542-27th-Ave-94121/home/2007755,MLSListings,ML81861532,N,Y,37.7791442,-122.4865593
MLS Listing,,Condo/Co-op,461 2nd St Unit C118,San Francisco,CA,94107,750000,1,1.0,San Francisco,672,56167,1907,1,1116,651,Active,September-11-2021 02:30 PM,September-11-2021 04:30 PM,http://www.redfin.com/CA/San-Francisco/461-2nd-St-94107/unit-C118/home/1203053,San Francisco MLS,421589274,N,Y,37.783797,-122.3937191
MLS Listing,,Condo/Co-op,1688 Pine St Unit W404,San Francisco,CA,94109,799000,1,1.0,San Francisco,694,35482,2016,2,1151,689,Active,September-11-2021 02:00 PM,September-11-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1688-Pine-St-94109/unit-W404/home/109079509,San Francisco MLS,421591931,N,Y,37.789363121,-122.4233618
MLS Listing,,Condo/Co-op,253 Oak St,San Francisco,CA,94102,999000,2,1.0,San Francisco,1000,,1912,2,999,315,Active,September-11-2021 02:00 PM,September-11-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/253-Oak-St-94102/home/40615584,San Francisco MLS,421591920,N,Y,37.7747818,-122.4234512
MLS Listing,,Single Family Residential,209 South Hill Blvd,San Francisco,CA,94112,1098000,2,1.0,San Francisco,1364,4499,1927,16,805,,Active,,,http://www.redfin.com/CA/San-Francisco/209-S-Hill-Blvd-94112/home/793588,San Francisco MLS,421579021,N,Y,37.71011,-122.4303341
MLS Listing,,Condo/Co-op,2000 Ellis St #205,San Francisco,CA,94115,749000,1,1.0,San Francisco,595,8090,2013,16,1259,466,Active,,,http://www.redfin.com/CA/San-Francisco/2000-Ellis-St-94115/unit-205/home/55244549,San Francisco MLS,421587794,N,Y,37.781718,-122.439434
MLS Listing,,Condo/Co-op,1998 Broadway #807,San Francisco,CA,94109,1350000,2,2.0,San Francisco,1030,15195,1964,28,1311,1288,Active,,,http://www.redfin.com/CA/San-Francisco/1998-Broadway-94109/unit-807/home/1865773,San Francisco MLS,421583886,N,Y,37.7953251,-122.4298254
MLS Listing,,Single Family Residential,618 Mangels Ave,San Francisco,CA,94127,1798000,3,3.0,San Francisco,1920,3746,1912,34,936,,Active,September-9-2021 05:00 PM,September-9-2021 06:30 PM,http://www.redfin.com/CA/San-Francisco/618-Mangels-Ave-94127/home/1719034,San Francisco MLS,421582030,N,Y,37.7332736,-122.4516557
MLS Listing,,Condo/Co-op,163 Shipley St,San Francisco,CA,94107,875000,2,1.0,San Francisco,801,10427,1992,42,1092,599,Active,,,http://www.redfin.com/CA/San-Francisco/163-Shipley-94107/home/1950146,San Francisco MLS,421576170,N,Y,37.7805383,-122.4018925
MLS Listing,,Condo/Co-op,248 Myrtle St,San Francisco,CA,94109,775000,2,1.0,San Francisco,975,3828,1900,128,795,461,Active,,,http://www.redfin.com/CA/San-Francisco/248-Myrtle-St-94109/home/1491675,San Francisco MLS,421544867,N,Y,37.7852487,-122.4221514
